iter	Passed	Remaining
0	58	58666
1	59	29704
2	60	19976
3	60	15118
4	61	12192
5	61	10247
6	62	8849
7	62	7802
8	63	6992
9	64	6338
10	64	5822
11	65	5377
12	65	5001
13	66	4680
14	67	4401
15	67	4153
16	68	3936
17	68	3742
18	69	3569
19	69	3421
20	70	3280
21	70	3150
22	71	3033
23	71	2923
24	72	2824
25	72	2731
26	73	2648
27	74	2570
28	74	2495
29	75	2431
30	75	2365
31	76	2305
32	76	2248
33	77	2195
34	77	2144
35	78	2096
36	78	2052
37	79	2008
38	79	1967
39	80	1928
40	80	1891
41	81	1857
42	81	1823
43	82	1791
44	82	1761
45	83	1731
46	84	1703
47	84	1676
48	85	1651
49	85	1627
50	86	1603
51	86	1580
52	87	1558
53	87	1537
54	88	1517
55	88	1496
56	89	1478
57	89	1458
58	90	1441
59	90	1423
60	91	1407
61	91	1391
62	92	1375
63	92	1359
64	93	1344
65	94	1330
66	94	1315
67	95	1302
68	95	1289
69	96	1277
70	96	1265
71	97	1253
72	97	1241
73	98	1230
74	98	1219
75	99	1208
76	99	1197
77	100	1186
78	100	1176
79	101	1166
80	101	1156
81	102	1146
82	102	1134
83	103	1125
84	103	1117
85	104	1108
86	104	1100
87	105	1092
88	105	1084
89	106	1075
90	106	1068
91	107	1063
92	108	1055
93	108	1047
94	109	1040
95	109	1033
96	110	1026
97	110	1020
98	111	1014
99	111	1007
100	112	1002
101	113	995
102	113	990
103	114	984
104	114	978
105	115	973
106	115	967
107	116	961
108	116	955
109	117	950
110	117	945
111	118	939
112	119	934
113	119	929
114	120	924
115	120	918
116	121	913
117	121	909
118	122	903
119	122	899
120	123	894
121	123	890
122	124	885
123	124	880
124	125	876
125	125	872
126	126	867
127	126	863
128	127	859
129	127	855
130	128	851
131	128	847
132	129	843
133	129	839
134	130	835
135	130	831
136	131	827
137	131	824
138	132	820
139	132	816
140	133	813
141	133	809
142	134	804
143	134	801
144	135	797
145	135	794
146	136	790
147	136	787
148	137	784
149	137	781
150	138	777
151	138	774
152	139	771
153	139	768
154	140	765
155	141	763
156	141	760
157	142	757
158	142	754
159	143	752
160	143	749
161	144	746
162	144	743
163	145	740
164	145	738
165	146	735
